# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.1

<none>.combo, long, 0000000000000001
sword.entity:68a25590-c97c-415a-bfec-8d9ed76dc4d0.combotimer, long, 0000000000000003
sword.entity:7b758c3e-f293-4fcd-8936-84f7d3967761.combo, long, 0000000000000001
sword.entity:7b758c3e-f293-4fcd-8936-84f7d3967761.combotimer, long, 0000000000000003
sword.entity:8fc32d31-f089-459f-8ee9-d17a1f4da360.combo, long, 0000000000000000
sword.entity:8fc32d31-f089-459f-8ee9-d17a1f4da360.combotimer, long, 0000000000000003
sword.entity:9ad5ef71-8ad3-43f6-8387-74571f912bc9.combo, long, 0000000000000000
sword.entity:9ad5ef71-8ad3-43f6-8387-74571f912bc9.combotimer, long, 0000000000000003
sword.entity:9d151ca9-52a0-4ec1-b09b-766c4b23fc08.combo, long, 0000000000000000
sword.entity:b019321d-fd44-4b85-a71f-ea3467a8f44e.combo, long, 0000000000000001
sword.entity:b019321d-fd44-4b85-a71f-ea3467a8f44e.combotimer, long, 0000000000000003
sword.entity:b1e48b54-a12a-49b5-9dd1-45645267a3cd.combo, long, 0000000000000002
sword.entity:b1e48b54-a12a-49b5-9dd1-45645267a3cd.combotimer, long, 0000000000000003
sword.entity:b341e30f-fb2d-492b-80e0-cb8d4a8cbe71.combo, long, 0000000000000000
sword.entity:b341e30f-fb2d-492b-80e0-cb8d4a8cbe71.combotimer, long, 0000000000000003
sword.entity:bdf1d9a0-4d82-40cc-a0a8-b98a4e156fe0.combo, long, 0000000000000001
sword.entity:bdf1d9a0-4d82-40cc-a0a8-b98a4e156fe0.combotimer, long, 0000000000000003
sword.entity:c0f10bb6-09f1-40cb-908e-3dcf3fa59923.combo, long, 0000000000000000
sword.entity:cf957cdd-ae17-4f64-97a7-f205cb10b1ae.combo, long, 0000000000000001
sword.entity:cf957cdd-ae17-4f64-97a7-f205cb10b1ae.combotimer, long, 0000000000000003
sword.entity:d4c801d6-437d-41de-bc4f-bb837600225b.combo, long, 0000000000000001
sword.entity:d4c801d6-437d-41de-bc4f-bb837600225b.combotimer, long, 0000000000000003
sword.entity:fe108d37-956b-41c2-9ca7-ea2895ffecfd.combo, long, 0000000000000000
sword.entity:fe108d37-956b-41c2-9ca7-ea2895ffecfd.combotimer, long, 0000000000000003
sword.shadowstar18.combo, long, 0000000000000000
sword.shadowstar18.combotimer, long, 0000000000000003
sword.wthdraw.combo, long, 0000000000000000
sword.wthdraw.combotimer, long, 0000000000000003

